CUI	preferred_text	alias_text	AUI	STT	ISPREF	SAB	TTY
C0001655	Adrenocorticotropic hormone (substance)	ACTH - Adrenocorticotrophic hormone	A3088921	PF	Y	SNOMEDCT_US	SY
C0001655	Adrenocorticotropic hormone (substance)	Adrenocorticotropic hormone (substance)	A3500952	PF	Y	SNOMEDCT_US	FN
C0001655	Adrenocorticotropic hormone (substance)	Corticotropin preparation (product)	A29498127	PF	Y	SNOMEDCT_US	OAF
C0001655	Adrenocorticotropic hormone (substance)	Corticotropin preparation (substance)	A4976497	PF	Y	SNOMEDCT_US	OF
C0001655	Adrenocorticotropic hormone (substance)	Corticotrophins (product)	A22832949	PF	Y	SNOMEDCT_US	OAF
C0001655	Adrenocorticotropic hormone (substance)	Corticotrophins (substance)	A4976494	PF	Y	SNOMEDCT_US	OF
C0001924	Albumin (substance)	Albumin	A2873286	VO	Y	SNOMEDCT_US	PT
C0001924	Albumin (substance)	Albumin (substance)	A3534415	PF	Y	SNOMEDCT_US	FN
C0001933	Alcian blue 8GX stain (substance)	Alcian blue	A22960798	VC	N	SNOMEDCT_US	OAS
C0001933	Alcian blue 8GX stain (substance)	Alcian blue	A13011003	VC	Y	SNOMEDCT_US	SY
C0001933	Alcian blue 8GX stain (substance)	Alcian blue 8GX	A3881537	VC	Y	SNOMEDCT_US	SY
C0001933	Alcian blue 8GX stain (substance)	Alcian blue 8GX (substance)	A5003669	PF	Y	SNOMEDCT_US	OF
C0001933	Alcian blue 8GX stain (substance)	Alcian blue 8GX stain	A3902804	PF	Y	SNOMEDCT_US	PT
C0001933	Alcian blue 8GX stain (substance)	Alcian blue 8GX stain (substance)	A3902803	PF	Y	SNOMEDCT_US	FN
C0001933	Alcian blue 8GX stain (substance)	Alcian blue stain	A23007917	PF	N	SNOMEDCT_US	OAP
C0001933	Alcian blue 8GX stain (substance)	Alcian blue stain	A13015676	PF	Y	SNOMEDCT_US	SY
C0001933	Alcian blue 8GX stain (substance)	Alcian blue stain (substance)	A22972530	PF	Y	SNOMEDCT_US	OAF
C0002059	Alkaline phosphatase (substance)	Alkaline phosphatase	A22809806	VC	N	SNOMEDCT_US	OAS
C0002059	Alkaline phosphatase (substance)	Alkaline phosphatase	A22820212	VC	N	SNOMEDCT_US	OAS
C0002059	Alkaline phosphatase (substance)	Alkaline phosphatase	A2922647	VC	Y	SNOMEDCT_US	PT
C0002059	Alkaline phosphatase (substance)	Phosphomonoesterase	A30229725	PF	N	SNOMEDCT_US	IS
C0002059	Alkaline phosphatase (substance)	Alkaline phosphomonoesterase	A2922648	PF	Y	SNOMEDCT_US	SY
C0002059	Alkaline phosphatase (substance)	Glycerophosphatase	A2932208	PF	Y	SNOMEDCT_US	SY
C0002059	Alkaline phosphatase (substance)	ALP - Alkaline phosphatase	A3089009	PF	Y	SNOMEDCT_US	SY
C0002059	Alkaline phosphatase (substance)	AP - Alkaline phosphatase	A3246049	PF	Y	SNOMEDCT_US	SY
C0002059	Alkaline phosphatase (substance)	Alkaline phosphatase (substance)	A3542685	PF	Y	SNOMEDCT_US	FN
C0002190	Alpha-1-antichymotrypsin (substance)	Alpha-1-antichymotrypsin	A3307798	VC	Y	SNOMEDCT_US	PT
C0002190	Alpha-1-antichymotrypsin (substance)	alpha>1< Antichymotrypsin	A22829352	VO	N	SNOMEDCT_US	OAP
C0002190	Alpha-1-antichymotrypsin (substance)	A-1ACT - alpha-1-antichymotrypsin	A30196747	PF	Y	SNOMEDCT_US	SY
C0002190	Alpha-1-antichymotrypsin (substance)	A-1ACT - Alpha-1-antichymotrypsin	A30230001	VC	N	SNOMEDCT_US	IS
C0002190	Alpha-1-antichymotrypsin (substance)	alpha1 Antichymotrypsin	A22972021	PF	N	SNOMEDCT_US	MTH_OAP
C0002190	Alpha-1-antichymotrypsin (substance)	alpha<sub>1</sub> Antichymotrypsin	A22987799	PF	Y	SNOMEDCT_US	MTH_OAP
C0002190	Alpha-1-antichymotrypsin (substance)	alpha<sub>1</sub> Antichymotrypsin (substance)	A23055201	PF	Y	SNOMEDCT_US	MTH_OAF
C0002190	Alpha-1-antichymotrypsin (substance)	Alpha-1-antichymotrypsin (substance)	A3551725	PF	Y	SNOMEDCT_US	FN
C0002190	Alpha-1-antichymotrypsin (substance)	alpha>1< Antichymotrypsin (substance)	A22995043	VC	Y	SNOMEDCT_US	OAF
C0002190	Alpha-1-antichymotrypsin (substance)	alpha1 Antichymotrypsin (substance)	A22852681	PF	Y	SNOMEDCT_US	MTH_OAF
C0002210	Alpha fetoprotein (substance)	alpha Fetoprotein	A30229712	VO	N	SNOMEDCT_US	OP
C0002210	Alpha fetoprotein (substance)	Alpha fetoprotein	A30198054	VO	Y	SNOMEDCT_US	PT
C0002210	Alpha fetoprotein (substance)	alpha Foetoprotein	A16965447	VO	N	SNOMEDCT_US	IS
C0002210	Alpha fetoprotein (substance)	Alpha-fetoprotein	A3310044	VO	Y	SNOMEDCT_US	SY
C0002210	Alpha fetoprotein (substance)	Fetuin	A2881589	PF	Y	SNOMEDCT_US	PT
C0002210	Alpha fetoprotein (substance)	AFP - alpha-fetoprotein	A30217780	PF	Y	SNOMEDCT_US	SY
C0002210	Alpha fetoprotein (substance)	AFP - Alpha-fetoprotein	A30250621	VC	N	SNOMEDCT_US	IS
C0002210	Alpha fetoprotein (substance)	Alpha-1-fetoprotein	A28439642	PF	Y	SNOMEDCT_US	SY
C0002210	Alpha fetoprotein (substance)	Alpha fetoprotein (substance)	A30267373	PF	Y	SNOMEDCT_US	FN
C0002210	Alpha fetoprotein (substance)	alpha Fetoprotein (substance)	A30210772	VC	Y	SNOMEDCT_US	OF
C0002210	Alpha fetoprotein (substance)	Fetuin (substance)	A3454599	PF	Y	SNOMEDCT_US	FN
C0002287	Alpha-lactalbumin (substance)	alpha-Lactalbumin	A30189969	PF	N	SNOMEDCT_US	OP
C0002287	Alpha-lactalbumin (substance)	Alpha-lactalbumin	A22935550	VC	N	SNOMEDCT_US	OAP
C0002287	Alpha-lactalbumin (substance)	Alpha-lactalbumin	A30198064	VC	Y	SNOMEDCT_US	PT
C0002287	Alpha-lactalbumin (substance)	Minor lactalbumin	A3159207	PF	Y	SNOMEDCT_US	SY
C0002287	Alpha-lactalbumin (substance)	alpha-Lactalbumin [dup] (substance)	A5058961	PF	Y	SNOMEDCT_US	OF
C0002287	Alpha-lactalbumin (substance)	Alpha-lactalbumin (substance)	A30198063	PF	Y	SNOMEDCT_US	FN
C0002287	Alpha-lactalbumin (substance)	alpha-Lactalbumin (substance)	A30190505	VC	N	SNOMEDCT_US	OF
C0002287	Alpha-lactalbumin (substance)	alpha-Lactalbumin (substance)	A23013395	VC	Y	SNOMEDCT_US	OAF
C0002712	Product containing amylase (medicinal product)	Amylase	A23011863	VO	N	SNOMEDCT_US	OAS
C0002712	Product containing amylase (medicinal product)	Amylase	A2878444	VO	N	SNOMEDCT_US	PT
C0002712	Product containing amylase (medicinal product)	Amylase	A29530569	VO	N	SNOMEDCT_US	OP
C0002712	Product containing amylase (medicinal product)	Product containing amylase (medicinal product)	A28892426	PF	Y	SNOMEDCT_US	FN
C0002712	Product containing amylase (medicinal product)	Amylase-containing product	A30235235	PF	Y	SNOMEDCT_US	PT
C0002712	Product containing amylase (medicinal product)	Product containing amylase	A30221767	VCW	Y	SNOMEDCT_US	IS
C0002712	Product containing amylase (medicinal product)	Amylase product	A30232363	PF	Y	SNOMEDCT_US	OP
C0002712	Product containing amylase (medicinal product)	Amylase preparation	A13368907	PF	N	SNOMEDCT_US	IS
C0002712	Product containing amylase (medicinal product)	Amylase preparation	A28879979	PF	Y	SNOMEDCT_US	OP
C0002712	Product containing amylase (medicinal product)	Amylase preparation (product)	A28902312	PF	Y	SNOMEDCT_US	OF
C0002712	Product containing amylase (medicinal product)	Amylase preparation (substance)	A5012443	PF	N	SNOMEDCT_US	OF
C0002712	Product containing amylase (medicinal product)	Amylase preparation (substance)	A5012442	PF	Y	SNOMEDCT_US	OF
C0002712	Product containing amylase (medicinal product)	Amylase (substance)	A3582870	PF	Y	SNOMEDCT_US	FN
C0003947	Asbestos (substance)	Asbestos	A2878718	PF	N	SNOMEDCT_US	PT
C0003947	Asbestos (substance)	Asbestos, NOS	A4771794	VO	N	SNOMEDCT_US	IS
C0003947	Asbestos (substance)	Asbestos fibers	A3706605	PF	Y	SNOMEDCT_US	SY
C0003947	Asbestos (substance)	Asbestos fibers, NOS	A4771793	VO	N	SNOMEDCT_US	IS
C0003947	Asbestos (substance)	Asbestos fibres	A3706611	VO	Y	SNOMEDCT_US	SYGB
C0003947	Asbestos (substance)	Asbestos (substance)	A3706574	PF	Y	SNOMEDCT_US	FN
C0005149	Beta 2 microglobulin (substance)	Beta-2 microglobulin	A2997534	VC	Y	SNOMEDCT_US	SY
C0005149	Beta 2 microglobulin (substance)	Beta-2-microglobulin	A24807329	VC	N	SNOMEDCT_US	OP
C0005149	Beta 2 microglobulin (substance)	beta 2 microglobulin	A30231134	VC	N	SNOMEDCT_US	OP
C0005149	Beta 2 microglobulin (substance)	Beta 2 microglobulin	A30227744	VC	Y	SNOMEDCT_US	PT
C0005149	Beta 2 microglobulin (substance)	B-2M - beta 2 microglobulin	A24810006	PF	Y	SNOMEDCT_US	SY
C0005149	Beta 2 microglobulin (substance)	B-2M - Beta-2 microglobulin	A24820249	VC	N	SNOMEDCT_US	IS
C0005149	Beta 2 microglobulin (substance)	Beta 2 microglobulin (substance)	A30267391	PF	Y	SNOMEDCT_US	FN
C0005149	Beta 2 microglobulin (substance)	beta 2 microglobulin (substance)	A30231136	VC	Y	SNOMEDCT_US	OF
C0005149	Beta 2 microglobulin (substance)	Beta-2-microglobulin (substance)	A24815353	VO	Y	SNOMEDCT_US	OF
C0005388	Gallbladder bile (substance)	Bile	A2879094	PF	N	SNOMEDCT_US	PT
C0005388	Gallbladder bile (substance)	Bile, NOS	A4739275	VO	N	SNOMEDCT_US	IS
C0005388	Gallbladder bile (substance)	Gallbladder bile	A2931687	PF	Y	SNOMEDCT_US	PT
C0005388	Gallbladder bile (substance)	Gallbladder bile (substance)	A3471356	PF	Y	SNOMEDCT_US	FN
C0005388	Gallbladder bile (substance)	Bile (substance)	A3810585	PF	Y	SNOMEDCT_US	FN
C0005919	Bombesin (substance)	Bombesin	A2879171	PF	N	SNOMEDCT_US	PT
C0005919	Bombesin (substance)	Bombesin (substance)	A3323569	PF	Y	SNOMEDCT_US	FN
C0006668	Product containing calcitonin (medicinal product)	Calcitonin	A2879368	PF	N	SNOMEDCT_US	PT
C0006668	Product containing calcitonin (medicinal product)	Calcitonin	A29525078	PF	N	SNOMEDCT_US	OP
C0006668	Product containing calcitonin (medicinal product)	Thyrocalcitonin	A2887360	PF	N	SNOMEDCT_US	SY
C0006668	Product containing calcitonin (medicinal product)	Calcitonin product	A30191034	PF	Y	SNOMEDCT_US	OP
C0006668	Product containing calcitonin (medicinal product)	CT - Calcitonin	A3261609	PF	Y	SNOMEDCT_US	SY
C0006668	Product containing calcitonin (medicinal product)	Product containing calcitonin (medicinal product)	A28883586	PF	Y	SNOMEDCT_US	FN
C0006668	Product containing calcitonin (medicinal product)	Calcitonin-containing product	A30195568	PF	Y	SNOMEDCT_US	PT
C0006668	Product containing calcitonin (medicinal product)	Product containing calcitonin	A30251772	VCW	Y	SNOMEDCT_US	IS
C0006668	Product containing calcitonin (medicinal product)	Calcitonin agent	A22809286	PF	Y	SNOMEDCT_US	OAP
C0006668	Product containing calcitonin (medicinal product)	Calcitonin agent (substance)	A23019396	PF	Y	SNOMEDCT_US	OAF
C0006668	Product containing calcitonin (medicinal product)	Calcitonin (substance)	A3335496	PF	Y	SNOMEDCT_US	FN
C0006675	Product containing calcium (medicinal product)	Calcium	A2879370	PF	N	SNOMEDCT_US	PT
C0006675	Product containing calcium (medicinal product)	Calcium, NOS	A4774965	VO	N	SNOMEDCT_US	IS
C0006675	Product containing calcium (medicinal product)	Ca - Calcium	A3002955	PF	Y	SNOMEDCT_US	SY
C0006675	Product containing calcium (medicinal product)	Calcium coagulation factor	A4774950	PF	N	SNOMEDCT_US	IS
C0006675	Product containing calcium (medicinal product)	Coagulation factor IV	A22964258	VC	N	SNOMEDCT_US	OAP
C0006675	Product containing calcium (medicinal product)	Calcium analyte	A23038355	PF	N	SNOMEDCT_US	OAP
C0006675	Product containing calcium (medicinal product)	Calcium product	A30212440	PF	Y	SNOMEDCT_US	OP
C0006675	Product containing calcium (medicinal product)	Product containing calcium (product)	A30232324	PF	Y	SNOMEDCT_US	OF
C0006675	Product containing calcium (medicinal product)	Calcium-containing product	A30196272	PF	Y	SNOMEDCT_US	PT
C0006675	Product containing calcium (medicinal product)	Product containing calcium	A30242159	VCW	Y	SNOMEDCT_US	IS
C0006675	Product containing calcium (medicinal product)	Product containing calcium (medicinal product)	A30265667	PF	Y	SNOMEDCT_US	FN
C0006675	Product containing calcium (medicinal product)	Calcium analyte (substance)	A23015255	PF	Y	SNOMEDCT_US	OAF
C0006675	Product containing calcium (medicinal product)	Calcium (substance)	A3335583	PF	Y	SNOMEDCT_US	FN
C0006675	Product containing calcium (medicinal product)	Coagulation factor IV -RETIRED-	A15117373	PF	N	SNOMEDCT_US	IS
C0006675	Product containing calcium (medicinal product)	Coagulation factor IV -RETIRED-	A4974268	PF	Y	SNOMEDCT_US	OF
C0006675	Product containing calcium (medicinal product)	Coagulation factor IV (substance)	A22925941	PF	Y	SNOMEDCT_US	OAF
C0007082	Carcinoembryonic antigen (substance)	Carcinoembryonic antigen	A2925781	VC	Y	SNOMEDCT_US	PT
C0007082	Carcinoembryonic antigen (substance)	CEA	A21115441	PF	N	SNOMEDCT_US	IS
C0007082	Carcinoembryonic antigen (substance)	CEA - Carcinoembryonic antigen	A22832053	PF	N	SNOMEDCT_US	OAS
C0007082	Carcinoembryonic antigen (substance)	CEA - Carcinoembryonic antigen	A22980608	PF	N	SNOMEDCT_US	OAS
C0007082	Carcinoembryonic antigen (substance)	CEA - Carcinoembryonic antigen	A3105717	PF	Y	SNOMEDCT_US	SY
C0007082	Carcinoembryonic antigen (substance)	Lymphocyte antigen CD66E	A22845176	PF	N	SNOMEDCT_US	OAP
C0007082	Carcinoembryonic antigen (substance)	Lymphocyte antigen CD66E	A13015768	PF	Y	SNOMEDCT_US	SY
C0007082	Carcinoembryonic antigen (substance)	Lymphocyte antigen CD66E (substance)	A22904201	PF	Y	SNOMEDCT_US	OAF
C0007082	Carcinoembryonic antigen (substance)	Carcinoembryonic antigen (substance)	A3338882	PF	Y	SNOMEDCT_US	FN
C0008586	Chromogranin (substance)	Chromogranin, NOS	A4812772	VO	N	SNOMEDCT_US	IS
C0008586	Chromogranin (substance)	Chromogranin	A3352188	VO	Y	SNOMEDCT_US	PT
C0008586	Chromogranin (substance)	Chromogranin (substance)	A3352180	PF	Y	SNOMEDCT_US	FN
C0009325	Product containing collagen (medicinal product)	Collagen	A2880108	PF	N	SNOMEDCT_US	PT
C0009325	Product containing collagen (medicinal product)	Collagen	A29551306	PF	N	SNOMEDCT_US	OP
C0009325	Product containing collagen (medicinal product)	Collagen [haemostatic]	A22900062	PF	N	SNOMEDCT_US	OAP
C0009325	Product containing collagen (medicinal product)	Collagen [hemostatic]	A23006696	VO	N	SNOMEDCT_US	OAP
C0009325	Product containing collagen (medicinal product)	Collagen product	A28882278	PF	N	SNOMEDCT_US	OP
C0009325	Product containing collagen (medicinal product)	Collagen-containing product	A30245149	PF	Y	SNOMEDCT_US	PT
C0009325	Product containing collagen (medicinal product)	Product containing collagen	A30261744	VCW	Y	SNOMEDCT_US	IS
C0009325	Product containing collagen (medicinal product)	Product containing collagen (medicinal product)	A28883593	PF	Y	SNOMEDCT_US	FN
C0009325	Product containing collagen (medicinal product)	Collagen [hemostatic] (product)	A22900844	PF	Y	SNOMEDCT_US	OAF
C0009325	Product containing collagen (medicinal product)	Collagen [hemostatic] (substance)	A4974593	PF	Y	SNOMEDCT_US	OF
C0009325	Product containing collagen (medicinal product)	Collagen product (product)	A28904593	PF	Y	SNOMEDCT_US	OF
C0009325	Product containing collagen (medicinal product)	Collagen product (substance)	A4974603	PF	Y	SNOMEDCT_US	OF
C0009325	Product containing collagen (medicinal product)	Collagen (substance)	A3362284	PF	Y	SNOMEDCT_US	FN
C0009742	Congo red stain (substance)	Congo red	A3881137	VC	Y	SNOMEDCT_US	SY
C0009742	Congo red stain (substance)	Direct red 28	A3397622	PF	Y	SNOMEDCT_US	SY
C0009742	Congo red stain (substance)	Congo red (substance)	A4975819	PF	Y	SNOMEDCT_US	OF
C0009742	Congo red stain (substance)	Congo red stain	A3897491	PF	Y	SNOMEDCT_US	PT
C0009742	Congo red stain (substance)	Congo red stain (substance)	A3897490	PF	Y	SNOMEDCT_US	FN
C0011696	Desmin (substance)	Desmin	A2880565	PF	N	SNOMEDCT_US	PT
C0011696	Desmin (substance)	Desmin (substance)	A3389907	PF	Y	SNOMEDCT_US	FN
C0012524	Catechol oxidase (substance)	Catechol oxidase	A3004974	VC	Y	SNOMEDCT_US	PT
C0012524	Catechol oxidase (substance)	Diphenol oxidase	A3015183	VO	Y	SNOMEDCT_US	SY
C0012524	Catechol oxidase (substance)	Tyrosinase	A2887768	PF	Y	SNOMEDCT_US	SY
C0012524	Catechol oxidase (substance)	Phenolase (di)	A3057372	PF	Y	SNOMEDCT_US	SY
C0012524	Catechol oxidase (substance)	o-Diphenolase	A3087715	PF	Y	SNOMEDCT_US	SY
C0012524	Catechol oxidase (substance)	Catechol oxidase (substance)	A3341866	PF	Y	SNOMEDCT_US	FN
C0012524	Catechol oxidase (substance)	Polyphenol oxidase	A3059466	VC	Y	SNOMEDCT_US	SY
C0014644	Human herpesvirus 4 (organism)	Epstein-Barr virus	A22907112	VC	N	SNOMEDCT_US	OAS
C0014644	Human herpesvirus 4 (organism)	Epstein-Barr virus	A2930023	VC	Y	SNOMEDCT_US	SY
C0014644	Human herpesvirus 4 (organism)	Human herpesvirus 4	A3031273	VCW	Y	SNOMEDCT_US	PT
C0014644	Human herpesvirus 4 (organism)	EBV - Epstein-Barr virus	A3122882	PF	Y	SNOMEDCT_US	SY
C0014644	Human herpesvirus 4 (organism)	Human herpesvirus 4 (organism)	A3497757	PF	Y	SNOMEDCT_US	FN
C0014644	Human herpesvirus 4 (organism)	Human (gamma) herpes virus 4	A3142647	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Factor VIII	A2881495	PF	N	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Factor VIII	A29551317	PF	N	SNOMEDCT_US	OP
C0015506	Product containing factor VIII (medicinal product)	Antihemophilic factor	A4738962	PF	N	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	Antihemophilic factor	A2923498	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Antihaemophilic factor	A3322298	VO	Y	SNOMEDCT_US	SYGB
C0015506	Product containing factor VIII (medicinal product)	Coagulation factor VIII	A22893071	VC	N	SNOMEDCT_US	OAP
C0015506	Product containing factor VIII (medicinal product)	Coagulation factor VIII	A2926926	VC	Y	SNOMEDCT_US	PT
C0015506	Product containing factor VIII (medicinal product)	Antihemophilic factor A	A4738963	PF	N	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	Antihemophilic factor A	A2923500	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Antihaemophilic factor A	A3648540	VO	Y	SNOMEDCT_US	SYGB
C0015506	Product containing factor VIII (medicinal product)	AHF	A4738574	PF	N	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	AHF	A2921880	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	AHG	A4738575	PF	N	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	AHG	A2921882	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Platelet cofactor I	A4743820	PF	N	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	Platelet cofactor I	A2941854	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Antihemophilic globulin	A4738964	PF	N	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	Antihemophilic globulin	A2923503	PF	Y	SNOMEDCT_US	SY
C0015506	Product containing factor VIII (medicinal product)	Antihaemophilic globulin	A3648627	VO	Y	SNOMEDCT_US	SYGB
C0015506	Product containing factor VIII (medicinal product)	Product containing factor VIII (medicinal product)	A28883651	PF	Y	SNOMEDCT_US	FN
C0015506	Product containing factor VIII (medicinal product)	Product containing factor VIII	A30192185	PF	Y	SNOMEDCT_US	IS
C0015506	Product containing factor VIII (medicinal product)	Coagulation factor VIII product	A30202825	PF	Y	SNOMEDCT_US	OP
C0015506	Product containing factor VIII (medicinal product)	Coagulation factor VIII-containing product	A30225410	PF	Y	SNOMEDCT_US	PT
C0015506	Product containing factor VIII (medicinal product)	Coagulation factor VIII (substance) [Ambiguous]	A4974273	PF	Y	SNOMEDCT_US	OF
C0015506	Product containing factor VIII (medicinal product)	Factor VIII (substance)	A3447313	PF	Y	SNOMEDCT_US	FN
C0015506	Product containing factor VIII (medicinal product)	Factor VIII product (product)	A28877905	PF	Y	SNOMEDCT_US	OF
C0015506	Product containing factor VIII (medicinal product)	Factor VIII product	A28891396	PF	Y	SNOMEDCT_US	OP
C0015506	Product containing factor VIII (medicinal product)	Coagulation factor VIII (substance)	A22938634	PF	Y	SNOMEDCT_US	OAF
C0015879	Ferritin (substance)	Ferritin	A2881579	PF	N	SNOMEDCT_US	PT
C0015879	Ferritin (substance)	Ferritin (substance)	A3453904	PF	Y	SNOMEDCT_US	FN
C0016006	Coagulation factor I (substance)	Fibrinogen	A2881601	PF	N	SNOMEDCT_US	SY
C0016006	Coagulation factor I (substance)	Coagulation factor I	A2873491	VC	Y	SNOMEDCT_US	PT
C0016006	Coagulation factor I (substance)	Factor I	A23043207	PF	N	SNOMEDCT_US	OAS
C0016006	Coagulation factor I (substance)	Factor I	A2881490	PF	N	SNOMEDCT_US	PT
C0016006	Coagulation factor I (substance)	Coagulation factor I (substance)	A3360940	PF	Y	SNOMEDCT_US	FN
C0016006	Coagulation factor I (substance)	Factor I (substance)	A3447241	PF	Y	SNOMEDCT_US	FN
C0016799	Fumarate hydratase (substance)	Fumarate hydratase	A22900794	VC	N	SNOMEDCT_US	OAP
C0016799	Fumarate hydratase (substance)	Fumarate hydratase	A2931608	VC	Y	SNOMEDCT_US	PT
C0016799	Fumarate hydratase (substance)	Fumarase	A13015544	PF	N	SNOMEDCT_US	SY
C0016799	Fumarate hydratase (substance)	Fumarase	A22994633	PF	N	SNOMEDCT_US	OAP
C0016799	Fumarate hydratase (substance)	Fumarase	A4712181	PF	N	SNOMEDCT_US	IS
C0016799	Fumarate hydratase (substance)	Fumarate hydratase (substance) [Ambiguous]	A4991064	PF	Y	SNOMEDCT_US	OF
C0016799	Fumarate hydratase (substance)	Fumarase (substance)	A22928287	PF	Y	SNOMEDCT_US	OAF
C0016799	Fumarate hydratase (substance)	Fumarate hydratase (substance)	A22882758	PF	N	SNOMEDCT_US	OAF
C0016799	Fumarate hydratase (substance)	Fumarate hydratase (substance)	A3469557	PF	Y	SNOMEDCT_US	FN
C0017440	Product containing methylrosanilinium chloride (medicinal product)	Gentian violet	A22968546	VC	N	SNOMEDCT_US	OAS
C0017440	Product containing methylrosanilinium chloride (medicinal product)	Gentian violet	A29509250	VC	N	SNOMEDCT_US	IS
